Date,Open,High,Low,Close,Mcap,TurnOver
2007-01-04,6077.15,6122.4,5982.45,6008.45,2590274,3465601
2007-01-05,6004.3,6101.8,5996.45,6049,2607744,4214473
2007-01-08,6069.9,6069.9,5951.6,5968.35,2572981,3591745
2007-01-09,5971.8,6000.75,5864.3,5875.3,2532858,6298350
2007-01-10,5859.9,5894.4,5709.2,5723.05,2467222,4066080
2007-01-11,5720.55,5816.5,5684.7,5748.75,2478263,7144225
2007-01-12,5826.65,6184.6,5826.65,6157.95,2654664,7941910
2007-01-15,6191,6221.4,6144.85,6164.8,2657600,3341725
2007-01-16,6188.1,6212.1,6103.1,6157.4,2654596,5142129
2007-01-17,6168.6,6247.05,6143.75,6215.2,2679517,3928303
2007-01-18,6239.2,6292.9,6154.9,6189.5,2668430,5875442
2007-01-19,6254.5,6254.75,6104.2,6184.9,2666446,3286087
2007-01-22,6209.75,6224.1,6135.4,6175.45,2662749,2995879
